event_id,code,name,market,listing_date,shares,current_shares,shares_date,close_price,ipo_price,category,type,period,planned_date,planned_tradable_date,planned_date_display,planned_qty,planned_pct,dart_rcp,dart_source,parse_note,api_return_date,api_return_qty,api_reason,manual_date,manual_qty,manual_lock,manual_mode,sheet_visible,final_date,final_tradable_date,final_date_display,final_qty,final_pct,status,review_needed,memo,updated_at
462870-IPO기관-15D-2024-07-26,462870,시프트업,코스피,2024-07-11,58741890,58741890,2026-07-15,32600,60000,IPO기관,IPO확약,15일,2024-07-26,2024-07-26,2024-07-26,66190,0.11,20240705000569,증권발행실적보고서,,,,,,,N,,Y,2024-07-26,2024-07-26,2024-07-26,66190,0.11,확정(경과),N,,2026-07-17 17:34:51
462870-IPO기관-1M-2024-08-12,462870,시프트업,코스피,2024-07-11,58741890,58741890,2026-07-15,32600,60000,IPO기관,IPO확약,1개월,2024-08-11,2024-08-12,2024-08-12,356565,0.61,20240705000569,증권발행실적보고서,,,,,,,N,,Y,2024-08-11,2024-08-12,2024-08-12,356565,0.61,확정(경과),N,,2026-07-17 17:34:51
062040-IPO기관-15D-2024-08-13,062040,산일전기,코스피,2024-07-29,30615850,30615850,2026-07-15,179200,35000,IPO기관,IPO확약,15일,2024-08-13,2024-08-13,2024-08-13,89307,0.29,20240723000042,증권발행실적보고서,,,,,,,N,,Y,2024-08-13,2024-08-13,2024-08-13,89307,0.29,확정(경과),N,,2026-07-17 17:35:26
373110-구주보호예수-보호예수-2024-08-16,373110,엑셀세라퓨틱스,코스닥,2024-07-15,17294394,17294394,2026-07-15,1185,,구주·보호예수,보호예수,보호예수,2024-08-16,2024-08-16,2024-08-16,1423758,8.23,,공공데이터 API 단독,DART 예정 이벤트와 매칭되지 않은 API 반환정보,2024-08-16,1423758,벤처금융 + 기타 보호예수 필요 주주,,,N,,Y,2024-08-16,2024-08-16,2024-08-16,1423758,8.23,반환확인,N,,2026-07-10 14:44:18
373110-구주보호예수-1M-2024-08-16,373110,엑셀세라퓨틱스,코스닥,2024-07-15,17294394,17294394,2026-07-15,1185,,구주·보호예수,보호예수,1개월,2024-08-16,2024-08-16,2024-08-16,1423758,8.23,,공공데이터 API 단독,DART 예정 이벤트와 매칭되지 않은 API 반환정보,2024-08-16,1423758,벤처금융 + 기타 보호예수 필요 주주,,,N,,,2024-08-16,2024-08-16,2024-08-16,1423758,8.23,반환확인,N,,2026-07-17 17:35:21
460470-IPO기관-15D-2024-08-21,460470,아이빔테크놀로지,코스닥,2024-08-06,15119370,15119370,2026-07-15,2935,10000,IPO기관,IPO확약,15일,2024-08-21,2024-08-21,2024-08-21,1224,0.01,20240730000095,증권발행실적보고서,,,,,,,N,,Y,2024-08-21,2024-08-21,2024-08-21,1224,0.01,확정(경과),N,,2026-07-17 17:35:29
456070-구주보호예수-기타-2024-08-26,456070,이엔셀,코스닥,2024-08-23,11029517,11029517,2026-07-15,6830,,구주·보호예수,보호예수,기타,2024-08-26,2024-08-26,2024-08-26,1059990,9.61,,공공데이터 API 단독,DART 예정 이벤트와 매칭되지 않은 API 반환정보 / 기간 자동보정: 기타→기타,2024-08-26,1059990,기타 보호예수 필요 주주 + 벤처금융 + 기관투자가,,,N,,,2024-08-26,2024-08-26,2024-08-26,1059990,9.61,반환확인,N,,2026-07-17 17:36:12
062040-IPO기관-1M-2024-08-29,062040,산일전기,코스피,2024-07-29,30615850,30615850,2026-07-15,179200,35000,IPO기관,IPO확약,1개월,2024-08-29,2024-08-29,2024-08-29,651802,2.13,20240723000042,증권발행실적보고서,,,,,,,N,,Y,2024-08-29,2024-08-29,2024-08-29,651802,2.13,확정(경과),N,,2026-07-17 17:35:26
460940-IPO기관-1M-2024-09-02,460940,피앤에스미캐닉스,코스닥,2024-07-31,13455280,13455280,2026-07-15,4405,22000,IPO기관,IPO확약,1개월,2024-08-31,2024-09-02,2024-09-02,27992,0.21,20240725000425,증권발행실적보고서,,,,,,,N,,Y,2024-08-31,2024-09-02,2024-09-02,27992,0.21,확정(경과),N,,2026-07-17 17:35:27
460940-구주보호예수-1M-2024-09-02,460940,피앤에스로보틱스,코스닥,2024-07-31,13455280,13455280,2026-07-15,4405,,구주·보호예수,보호예수,1개월,2024-09-02,2024-09-02,2024-09-02,895041,6.65,,수기입력,시트 수기입력 탭에서 편입,,,,,,N,임시,Y,2024-09-02,2024-09-02,2024-09-02,895041,6.65,확정(경과),N,,2026-07-17 17:46:33
079900-IPO기관-15D-2024-09-03,079900,전진건설로봇,코스피,2024-08-19,14592545,14592545,2026-07-15,32950,16500,IPO기관,IPO확약,15일,2024-09-03,2024-09-03,2024-09-03,23852,0.16,20240813001336,증권발행실적보고서,,,,,,,N,,Y,2024-09-03,2024-09-03,2024-09-03,23852,0.16,확정(경과),N,,2026-07-17 17:36:03
464280-IPO기관-15D-2024-09-05,464280,티디에스팜,코스닥,2024-08-21,5530000,5530000,2026-07-15,5830,13000,IPO기관,IPO확약,15일,2024-09-05,2024-09-05,2024-09-05,17857,0.32,20240814003667,증권발행실적보고서,,,,,,,N,,Y,2024-09-05,2024-09-05,2024-09-05,17857,0.32,확정(경과),N,,2026-07-17 17:36:08
460470-IPO기관-1M-2024-09-06,460470,아이빔테크놀로지,코스닥,2024-08-06,15119370,15119370,2026-07-15,2935,10000,IPO기관,IPO확약,1개월,2024-09-06,2024-09-06,2024-09-06,2878,0.02,20240730000095,증권발행실적보고서,,,,,,,N,,Y,2024-09-06,2024-09-06,2024-09-06,2878,0.02,확정(경과),N,,2026-07-17 17:35:29
460470-구주보호예수-1M-2024-09-06,460470,아이빔테크놀로지,코스닥,2024-08-06,15119370,15119370,2026-07-15,2935,,구주·보호예수,보호예수,1개월,2024-09-06,2024-09-06,2024-09-06,3917805,25.91,,수기입력,시트 수기입력 탭에서 편입,2024-09-06,3992820,벤처금융 + 기타 보호예수 필요 주주,,,N,임시,Y,2024-09-06,2024-09-06,2024-09-06,3992820,26.41,반환확인_API수정,N,,2026-07-17 17:46:33
456070-IPO기관-15D-2024-09-09,456070,이엔셀,코스닥,2024-08-23,11029517,11029517,2026-07-15,6830,15300,IPO기관,IPO확약,15일,2024-09-07,2024-09-09,2024-09-09,140,0.0,20240816000109,증권발행실적보고서,,,,,,,N,,Y,2024-09-07,2024-09-09,2024-09-09,140,0.0,확정(경과),N,,2026-07-17 17:36:12
